,R_low_10_1,R_low_100_1,R_low_10M_1,R_low_10_100,R_low_100_100,R_low_10M_100,R_T_10_1,R_T_100_1,R_T_10M_1,R_T_10_100,R_T_100_100,R_T_10M_100,R_pi_10_1,R_pi_100_1,R_pi_10M_1,R_pi_10_100,R_pi_100_100,R_pi_10M_100
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,75.82057151000001,443.66832299000004,427999.34745,57.125816966,529.1979323400001,543058.0303100001,54.137312873,38.653165575,390300.19194000005,73.478872764,136.54777831,368298.85095000005,11.019534440000001,42.879382818,56.500557548,69.997790888,74.80145541200001,312595.25567
2,59.675257944,162.38642274,384064.72653,63.678844526,166.42643459,417641.28953000007,47.72324246,149.97794096,543058.0303100001,54.685160649,181.23993868,543058.0303100001,72.73756637,169.16244931,74.559929999,75.86173524,141.94095456000002,336738.82484
3,14.989760757,114.03082681000001,384234.82329000003,25.822882890000002,111.71074220000001,75258.105062,12.904910136,112.60670362,356337.91238,12.204769746,126.62627341,543058.0303100001,21.111216028999998,114.27028767,25.661356631,27.351163681,98.990103652,115066.18932
4,3.544487015,104.84140148,140854.09231,14.427204178,101.29833753999999,11620.648438,6.473076155100001,95.133418654,123294.96443,2.2859322257,109.3177616,413816.98102,7.6945519822,93.330982054,9.4260354899,11.306876786,75.35387794600001,39718.821645
5,7.5448366488,101.73671399000001,48933.53208900001,11.412313370000001,99.626231531,2381.5255554,8.3546433416,84.972261902,43230.075389000005,7.7036099810000005,103.32565579999999,283368.22987000004,8.547755783200001,82.05981430400001,3.2459129784000003,5.6287569805,61.684027060000005,13823.666377
6,9.2449715794,101.02395208000002,18019.014969,10.249797242,100.46479474,918.5411909100001,8.583024850900001,78.290649981,16078.471672000001,8.765733241500001,101.07789421,213553.58884,9.5131792932,74.653280535,1.2128231219,4.5761865408,52.254117691,5004.2214571
7,9.6265750926,100.96548976000001,8456.943905900001,9.2337086244,100.43657311999999,660.6586976,8.5545156026,72.918114711,6818.6136195,9.6532926364,100.29959412000001,170740.31755,8.4541511569,68.89976703,0.24567977874,4.485754630000001,45.959122872,1956.1237423
8,10.480215451,100.23632058,5679.9553568,9.838082633,99.13761459800001,742.46425356,9.9119552033,67.87456641200001,3714.7212424,9.7885617834,100.86137081000001,142212.35178000003,9.508452762900001,63.762699938000004,0.51372531118,3.7703367184000003,41.268422136999995,883.31471488
9,9.9085161764,100.23074537,4642.3095046,9.9330316061,100.79149433,593.10532379,9.2954184083,63.869010773,2588.5624927000003,9.8724774489,100.72465557,122105.35817,9.5832410807,59.218782553000004,0.79445037215,3.2722346077,38.588473217,494.96604333
10,9.3741022056,100.21746675,4024.8330333,9.8195107512,97.686252047,560.29475672,9.420433002600001,61.514142544,2081.1884315,9.7897691376,99.920671346,107258.75385000001,8.544087108900001,55.426871768000005,0.99012858357,3.3763697616000004,35.058951653,340.83725041
11,9.7603015092,99.995459095,3583.158832,9.3144802804,96.56236215999999,451.44810429,9.4067144119,58.631362663000004,1793.0402828,9.9880196558,100.23801224000002,95518.790185,9.003948662200001,52.370060075,0.34442933838,3.1885755902,32.556101814,272.71247745000005
12,10.089014495,98.962427728,3231.9687307000004,8.7528104586,98.58005796600001,397.21428038,9.2052880518,56.269682318,1588.6865731,10.078210835,100.69581549000002,86323.77721400002,8.923707355300001,50.01151294,0.25580732199,2.8506676130999997,30.158771551,233.87128749
13,10.192236459000002,100.97915947000001,2947.9633668,9.641678389,96.77683010500002,379.86381358,9.3553364877,53.788426158,1430.0130715000003,10.468544360000001,100.8450181,78635.93287799999,8.9292143457,47.549865485000005,0.49550088477,1.8841264193000002,28.248841772000002,208.37200282
14,9.8584678199,100.55853636,2709.0570075,9.652380867900002,95.60914804800001,352.40602301000007,8.9441942919,52.392952057,1301.3747230000001,10.451736898000002,100.70886674,72309.076786,9.0637581707,46.459599616000006,0.2056515136,2.2278507572,26.557627280000002,188.86199541000002
15,10.472672329000002,101.94056813,2507.2522112,9.6095504887,98.15206794900001,333.47478166,8.6226765461,50.85232260200001,1193.1327026,10.444856571,100.49910088000001,66866.12498000001,8.390981634000001,44.68224688,0.24445085955,2.2467826000000004,25.241863568000003,172.75819118
16,9.4280295571,103.39792425,2335.6061138,9.6634778401,95.396044344,309.81900636000006,8.6986915449,48.468423302,1100.0524682,10.814694633,100.60673048,62191.295438,9.0644715556,43.018267206,0.60564175897,2.5420209226,23.725281153000005,159.26270862
17,9.5141376732,100.06328012,2184.7218159,9.7996780823,94.340557553,290.44947951,9.0955444421,46.990680858000005,1018.2862025000001,10.110383073000001,100.65067727000002,58201.202191000004,9.119146398,41.509269977,0.60343431585,2.5782114221,22.810934297000003,147.68722394
18,9.422219591200001,99.43341865400001,2051.3674826,9.6954954643,94.077495305,268.11556381,8.189841196300002,45.813558245,944.83155408,9.9361807315,100.9191601,54716.574959000005,8.672607236800001,40.448871914,0.59187595269,2.2419874313,21.338869373999998,137.3217674
19,10.152450614000001,98.911032183,1935.557666,9.5260742228,95.874320323,254.18159566,8.192270684,44.411344788,881.9723734600001,10.545212489999999,101.04104149000001,51616.169512,8.2843189375,38.577945816,0.082564231008,2.3595751486000003,19.995393359,128.71506442
20,9.804972478400002,99.340386441,1832.6193094,10.255610050000001,92.74416697699999,241.39215384000002,7.1367639976,41.987050281,825.19298303,10.203546026000001,100.91134754000001,48821.49398300001,7.8753004118000005,36.376557091,0.6901572646699999,1.9088916758,18.527740622,120.38169189
21,10.308989431000002,100.27390999,1740.4092068,10.073734984,91.22322808300001,229.50363928,7.156034485000001,42.157594180000004,774.38220615,10.065572268999999,101.29791917,46358.830296,7.8844010432000005,35.705747905,0.32425433005,2.2815565615,18.754268467,113.46603969
22,10.753013839,100.40907910000001,1655.5382172,10.301981774000001,90.92892469200001,217.74572815000002,7.4256661264,39.994092731,728.1955913600001,9.865259471600002,101.89944078,44119.353406,7.3336957485,34.442014112,0.64312203563,2.6513578177,17.455702163999998,107.04528904
23,10.237586139000001,100.40449524,1579.2828344000002,10.475084764000002,91.623978733,207.71432901000003,6.8909474749,39.174110498000005,685.37214247,10.218830084,101.40289305,42104.013264,6.5655376602,33.41412139,0.60565213289,2.8499221116,16.395460989,100.35703781
24,9.3701919468,104.09942661000001,1510.2988982,9.9745375337,92.298023446,200.03029931,6.7582374186,37.576378418000004,646.76976763,10.398892982000001,101.46153727000001,40248.45082300001,6.299414963,32.939524317,0.2317790404,2.1171497622,15.233888462000001,95.025079645
25,10.067875564000001,102.17921954,1447.7864897000002,9.964480796,90.65880476600002,190.68067559000002,6.6899872309,36.569576878,611.8247984,10.079502317000001,101.56511053000001,38563.62775,6.148784450500001,32.359305351,0.6860584989,1.7030193078,15.108721527000002,89.579243649
26,10.118036471000002,100.14713553,1389.9065380000002,9.6142503025,87.647431428,184.93356038000002,6.2191207917,34.849990698000006,579.36103985,9.594691619,102.45374142000001,37008.412182,5.7417355492,30.92195584,0.7052047124,1.6456684193000002,14.158472368000002,84.932280515
27,11.308754893,99.911267171,1337.4364062,10.780058801,87.39120858100001,176.78796212,6.2324318151,34.629008496000004,549.55005908,9.445114415,102.25854567,35580.15218,6.7124079806,30.025428259,0.6093110016500001,1.474148803,13.953736016000002,81.002535808
